Artistas,Composición,Género,Nacionalidad,Género musical,Debut
311,Banda,M,Estados Unidos,Rock,1989
070 Shake,Solista,F,Estados Unidos,Electrónica,2016
30 Seconds to Mars,Banda,M,Estados Unidos,Rock,1998
31 Minutos,Banda,M,Chile,Infantil,2003
3x7 Veintiuna,Banda,M,Chile,Cueca,2005
8Monkys,Banda,M,Chile,Hip-hop,2015
A Day to Remember,Banda,M,Estados Unidos,Metal,2003
A perfect circle,Banda,M,Estados Unidos,Rock,1999
A-Trak,Solista,M,Canadá,Electrónica,2002
A.Chal,Solista,M,Perú,R&B,2013
Above & Beyond,Banda,M,Reino Unido,Electrónica,2000
Abrildefresa,Solista,M,Chile,R&B,2019
Abya Yala,Banda,Mixto,Chile,Reggae,2012
Achú,Banda,M,Chile,Infantil,2008
Adanowsky,Solista,M,México,Rock,2006
Adelaida,Banda,Mixto,Chile,Rock ,2010
Adrianigual,Banda,M,Chile,Pop,2004
AFI,Banda,M,Estados Unidos,Rock,1991
Africk & The Smiling Orchestra,Banda,M,Chile,Electrónica,2015
Agents,Banda,M,Finlandia,Rock and Roll,2012
Aguaturbia,Banda,Mixto,Chile,Rock,1968
Akriila,Solista,F,Chile,Trap,2020
Alabama shakes,Banda,M,Estados Unidos,Soul,2009
Alain Johannes Trio,Banda,M,Chile,Rock ,1990
Alan Walker,Solista,M,Reino Unido,Electrónica,2015
Alan Walker,Solista,M,Reino Unido,Electrónica,2015
Alanis Morissette,Solista,F,Canadá,Rock,1990
Albert Hammond Jr.,Solista,M,Estados Unidos,Rock,1998
Alectrofobia,Banda,M,Chile,Rock,2011
Alejandro Vivanco,Solista,M,Chile,Electrónica,1993
Alejo,Solista,M,Puerto Rico,Reggaeton ,2019
Alemán,Solista,M,México,Hip hop,2014
Alessia Cara,Solista,F,Canadá,Pop,2014
Alesso,Solista,M,Suecia,Electrónica,2010
Alex Anwandter,Solista,M,Chile,Pop,2010
Alex June,Solista,F,Francia,Electrónica,2013
Alexisonfire,Banda,M,Canadá,Rock,2001
Alika,Solista,F,Uruguay,Reggae,1994
Alison Wonderland,Solista,F,Autralia,Electrónica,2012
Alok,Solista,M,Brasil,Electrónica,2016
Alt J,Banda,M,Inglaterra,Rock,2012
Álvaro Díaz,Solista,M,Puerto Rico,Reggaeton,2012
Amadu y Mariam,Banda,Mixto,Malí,Blues,1994
Amahiro,Banda,M,Chile,Folk,2012
Amanitas,Banda,F,Chile,Rock ,2013
Amarga Marga,Banda,M,Chile,Pop,2015
Ambar Luna,Solista,F,Chile,Rap,2020
Américo,Solista,M,Chile,Cumbia,2005
Amilcar Nadal,Solista,M,Argentina,Electrónica,2007
Anderson .Paak,Solista,M,Estados Unidos,R&B,2012
Ángel Parra y los retornados,Banda,M,Chile,Rock,2010
Angelo Pierattini,Solista,M,Chile,Rock,2008
Anita Dinamita,Solista,F,Chile,Hip-hop/rap,2017
Anita Tijoux,Solista,F,Chile,Hip-hop/rap,1997
Anitchie,Banda,M,Brasil,Afropop,2007
Antónima,Banda,F,Chile,Rock,2015
Arcade Fire,Banda,M,Canadá,Rock,2001
Arctic Monkeys,Banda,M,Reino Unido,Rock,2002
Arde Bogotá,Banda,M,España,Rock,2017
Armin Van Buuren,Solista,M,Países Bajos,DJ,1996
Aron,Solista,M,Corea del Sur,Kpop,2012
Artemas,Solista,M,Reino Unido,Pop,2020
ASAP Rocky,Solista,M,Estados Unidos,Hip-hop/rap,2011
Ases Falsos,Banda,M,Chile,Rock,2011
Ashnikko,Solista,F,Estados Unidos,Rock,2021
Astro,Banda,M,Corea del Sur,Kpop,2016
Atom,Banda,M,Brasil,Rock,2012
Aura BAE,Solista,F,Chile,Trap,2020
Aurora,Solista,F,Noruega,Pop,2012
Axwell,Solista,M,Suecia,Electrónica,2007
Baauer,Solista,M,Estados Unidos,Electrónica,2012
Babadú,Banda,Mixto,Chile,Infantil,2020
Babasónicos,Banda,M,Argentina,Rock,1991
Bad brains,Banda,M,Estados Unidos,Punk,1977
Bad Gyal,Solista,F,España,Reggaetón,2016
Bad Milk,Solista,F,Colombia,Reggaeton,2023
Bad Religion,Banda,M,Estados Unidos,Punk,1979
