Artistas,Composición,Género,Nacionalidad,Género musical,Debut
311,Banda,M,Estados Unidos,Rock,1989
30 Seconds to Mars,Banda,M,Estados Unidos,Rock,1998
31 Minutos,Banda,M,Chile,Infantil,2003
3x7 Veintiuna,Banda,M,Chile,Cueca,2005
8Monkys,Banda,M,Chile,Hip-hop,2015
A perfect circle,Banda,M,Estados Unidos,Rock,1999
A-Trak,Solista,M,Canadá,Electrónica,2002
A.Chal,Solista,M,Perú,R&B,2013
Above & Beyond,Banda,M,Reino Unido,Electrónica,2000
Abya Yala,Banda,Mixto,Chile,Reggae,2012
Achú,Banda,M,Chile,Infantil,2008
Adanowsky,Solista,M,México,Rock,2006
Adelaida,Banda,Mixto,Chile,Rock ,2010
Adrianigual,Banda,M,Chile,Pop,2004
AFI,Banda,M,Estados Unidos,Rock,1991
Africk & The Smiling Orchestra,Banda,M,Chile,Electrónica,2015
Agents,Banda,M,Finlandia,Rock and Roll,2012
Aguaturbia,Banda,Mixto,Chile,Rock,1968
Alabama shakes,Banda,M,Estados Unidos,Soul,2009
Alain Johannes Trio,Banda,M,Chile,Rock ,
Alan Walker,Solista,M,Reino Unido,Electrónica,2015
Albert Hammond Jr.,Solista,M,Estados Unidos,Rock,1998
Alejandro Vivanco,Solista,M,Chile,Electrónica,1993
Alemán,Solista,M,México,Hip hop,2014
Alex Anwandter,Solista,M,Chile,Pop,2010
Alex June,Solista,F,Chile,Electrónica,
Alika,Solista,F,Uruguay,Reggae,1994
Alison Wonderland,Solista,F,Autralia,Electrónica,2012
Alok,Solista,M,Brasil,Electrónica,2016
Alt J,Banda,M,Inglaterra,Rock,2012
Amadu y Mariam,Banda,Mixto,Malí,Blues,1994
Amahiro,Banda,M,Chile,Folk,2012
Amanitas,Banda,F,Chile,Rock ,2013
Amarga Marga,Banda,M,Chile,Pop,2015
Américo,Solista,M,Chile,Cumbia,2005
Amilcar,Solista,M,Chile,Electrónica,
Anderson .Paak,Solista,M,Estados Unidos,R&B,2012
Ángel Parra y los retornados,Banda,M,Chile,Rock,2010
Anita Dinamita,Solista,F,Chile,Rock,
Anita Tijoux,Solista,F,Chile,Hip-hop/rap,1997
Anitchie,Banda,M,Brasil,Afropop,2007
Arcade Fire,Banda,M,Canadá,Rock,2001
Arctic Monkeys,Banda,M,Reino Unido,Rock,2002
Armin Van Buuren,Solista,M,Países Bajos,DJ,1996
Ases Falsos,Banda,M,Chile,Rock,2011
Astro,Banda,M,Corea del Sur,Kpop,2016
Atom,Banda,M,Brasil,Rock,2012
Axwell,Solista,M,Suecia,Electrónica,2007
Baauer,Solista,M,Estados Unidos,Electrónica,2012
Babasónicos,Banda,M,Argentina,Rock,1991
Bad brains,Banda,M,Estados Unidos,Punk,1977
Bad Gyal,Solista,F,España,Reggaetón,2016
Bad Religion,Banda,M,Estados Unidos,Punk,1979
Bajofondo,Banda,M,Argentina,Electrónica,2002
Band of Horses,Banda,M,Estados Unidos,Rock,2004
Banda conmoción,Banda,Mixto,Chile,Cumbia,2005
Bassnectar,Solista,M,Estados Unidos,Electrónica,2001
Bastille,Banda,M,Inglaterra,Rock,2010
BBS Paranoicos,Banda,M,Chile,Rock,1991
Ben Harper,Solista,M,Estados Unidos,Blues,1993
Bitman & Roban,Banda,M,Chile,Electrónica,2000
Björk,Solista,F,Islandia,Electrónica,1993
Bomba Estéreo,Banda,Mixto,Colombia,Electrónica,2005
Bonko Yotte,Solista,M,Chile,Rap,2012
Booka Shade,Banda,M,Alemania,Electrónica,2002
Boom Boom Kid,Solista,M,Argentina,Punk,2000
Boraj,Banda,M,Chile,Folk,2014
Borgore,Solista,M,Israel,Electrónica,2009
Boys Noize,Solista,M,Alemania,Electrónica,2007
Bring me te Horizon,Banda,M,Reino Unido,Rock,2004
C. Tangana,Solista,M,España,Trap,2006
Cachureos,Banda,M,Chile,Infantil,1983
"Caetano, Moreno, Zeca & Tom Veloso",Banda,M,Brasil,R&B,2017
Café Tacvba,Banda,M,México,Rock,1989
Cage The Elephant,Banda,M,Estados Unidos,Rock,2006
Calvin Harris,Solista,M,Reino Unido,Electrónica,2007
Camila Cabello,Solista,F,Estados Unidos,Pop,2017
Camila Moreno,Solista,F,Chile,Rock,2009
Camileazy,Solista,M,Chile,Trap,2010s
Candlebox,Banda,M,Estados Unidos,Rock,1991
Cansei de Ser Sexy,Banda,F,Brasil,Dance Punk,2003
Cantando aprendo a hablar,Banda,F,Chile,Infantil,2012
Capital Cities,Banda,M,Estados Unidos,Pop,2010
Caramelos de cianuro,Banda,M,Venezuela,Rock ,1991
Carla Morrison,Solista,F,México,Pop,2009
Cat Power,Solista,F,Estados Unidos,Folk,1990
Catfish and the Bottlemen,Banda,M,Reino Unido,Rock,2007
Cease,Solista,M,Chile,Electrónica,
Chance the rapper,Solista,M,Estados Unidos,Hip-hop/rap,2012
Chancha vía circuito,Solista,M,Argentina,Electrónica,2005
Chancho en piedra,Banda,M,Chile,Rock,1994
