Año,Artista,Composición,Género,nacionalidad,escenario,tiempo / escenario,headliner,Dia 
2011,311,Banda,Masculino,Estados Unidos,Coca Cola Zero Stage,60 minutos,No,Domingo
2011,30 Seconds to Mars,Banda,Masculino,Estados Unidos,Coca Cola Zero Stage,60 minutos,No,Domingo
2011,Achu,Banda,Masculino,Chile,Kidzapalooza,45 minutos,No,Sabado
2011,Achu & Los Plumabits,Banda,Mixto,Chile,Kidzapalooza,45 minutos,No,Domingo
2011,Ana Tijoux,Solista,Femenino,Chile,Tech Stage,45 minutos,No,Sabado
2011,Armin Van Buuren,Solista,Masculino,Holanda,LG Stage,120 minutos,No,Domingo
2011,Astro,Banda,Masculino,Chile,Tech Stage,30 minutos,No,Sabado
2011,Ben Harper,Solista,Masculino,Estados Unidos,Claro Stage,60 minutos,No,Sabado
2011,Bomba Estereo,Banda,Mixto,Colombia,Tech Stage,60 minutos,No,Sabado
2011,Boys Noize,Solista,Masculino,Alemania,LG Stage,75 minutos,No,Domingo
2011,Cansei de Ser Sexy,Banda,Mixto,Brazil,Tech Stage,60 minutos,No,Sabado
2011,Cat Power,Solista,Femenino,Estados Unidos,Tech Stage,60 minutos,No,Domingo
2011,Chico Trujillo,Banda,Masculino,Chile,Claro Stage,60 minutos,No,Domingo
2011,Cold War Kids,Banda,Masculino,Estados Unidos,Tech Stage,60 minutos,No,Domingo
2011,Como Asesinar a Felipes,Banda,Masculino,Chile,Tech Stage,30 minutos,No,Domingo
2011,Cuchara,Solista,Masculino,Chile,Kidzapalooza,45 minutos,No,Domingo
2011,Cypress Hill,Banda,Masculino,Estados Unidos,Claro Stage,60 minutos,No,Sabado
2011,Datarock,Banda,Masculino,Noruega,Tech Stage,60 minutos,No,Sabado
2011,Deftones,Banda,Masculino,Estados Unidos,Claro Stage,90 minutos,No,Sabado
2011,Denver,Banda,Mixto,Chile,Tech Stage,30 minutos,No,Sabado
2011,Devendra Banhart,Solista,Masculino,Estados Unidos,Tech Stage,60 minutos,No,Domingo
2011,Devil Presley,Banda,Masculino,Chile,Tech Stage,30 minutos,No,Sabado
2011,Dj Raff,Solista,Masculino,Chile,LG Stage,45 minutos,No,Sabado
2011,Edward Sharpe and the Magnetic Zeros,Banda,Mixto,Estados Unidos,Tech Stage,60 minutos,No,Sabado
2011,Empire of the Sun,Banda,Masculino,Australia,LG Stage,55 minutos,No,Sabado
2011,Fatboy Slim,Solista,Masculino,Reino Unido,LG Stage,90 minutos,No,Sabado
2011,Fischerspooner,Banda,Masculino,Estados Unidos,LG Stage,60 minutos,No,Domingo
2011,Fother Muckers,Banda,Masculino,Chile,Tech Stage,45 minutos,No,Domingo
