Artistas,Composición,Género,Nacionalidad,Género musical,Debut
Newen Afrobeat,Banda,F,Chile,Afrobeat,2010
Ghetto Kids,Banda,M,Uganda,Afrobeat,2014
Seun Kuiti,Solista,M,Nigeria,Afrobeat,2008
Anitchie,Banda,M,Brasil,Afrobeat,2007
Golden Dawn Arkestra,Banda,Mixto,Estados Unidos,Afrobeat,2013
Ben Harper,Solista,M,Estados Unidos,Blues,1993
Cigarbox Man,Banda,M,Chile,Blues,2010
Gary Clark Jr.,Solista,M,Estados Unidos,Blues,2010
Amadu y Mariam,Banda,Mixto,Malí,Blues,1994
Dead Christine,Banda,Mixto,Chile,Blues,2011
Alabama shakes,Banda,Mixto,Estados Unidos,Blues,2009
Américo,Solista,M,Chile,Cumbia,2005
Chico Trujillo,Banda,M,Chile,Cumbia,1999
Damas Gratis,Banda,M,Argentina,Cumbia,2000
DT.Bilardo,Solista,M,Argentina,Cumbia,2019
Juana Fe,Banda,M,Chile,Cumbia,2004
Silvestre,Banda,M,Chile,Cumbia,2004
Banda conmoción,Banda,Mixto,Chile,Cumbia,2005
Santaferia,Banda,M,Chile,Cumbia,2006
Armin Van Buuren,Solista,M,Países Bajos,Electrónica,1996
Fatboy Slim,Solista,M,Reino Unido,Electrónica,1981
Dombresky,Solista,M,Francia,Electrónica,2016
Deorro,Solista,M,Estados Unidos,Electrónica,2012
070 Shake,Solista,F,Estados Unidos,Electrónica,2016
Alex June,Solista,F,Francia,Electrónica,2013
Alison Wonderland,Solista,F,Autralia,Electrónica,2012
Björk,Solista,F,Islandia,Electrónica,1993
Charlotte de Witte,Solista,F,B{elgica,Electrónica,2010
DJ NEA,Solista,F,Canadá,Electrónica,2010
Entrópica,Solista,F,Chile,Electrónica,2013
Fernanda Arrau,Solista,F,Chile,Electrónica,2010
Jack Novak,Solista,F,Estados Unidos,Electrónica,2015
Kaleema,Solista,F,Argentina,Electrónica,2015
Krewella,Banda,F,Estados Unidos,Electrónica,2012
Malenie Ribbe,Solista,F,Alemania,Electrónica,2015
Maria Magdalena,Solista,F,Chile,Electrónica,2013
Melanie Ribbe,Solista,F,Alemania,Electrónica,2015
Nervo,Banda,F,Australia,Electrónica,2005
Nora En Pure,Solista,F,Sudáfrica,Electrónica,2009
Peaches,Solista,F,Canadá,Electrónica,2000
Rubio,Solista,F,Chile,Electrónica,2015
Sita Abellán,Solista,F,España,Electrónica,2015
Tove Lo,Solista,F,Suecia,Electrónica,2014
Transubhiriano,Banda,M,Chile,Electrónica,2012
A-Trak,Solista,M,Canadá,Electrónica,2002
Above & Beyond,Banda,M,Reino Unido,Electrónica,2000
Africk & The Smiling Orchestra,Banda,M,Chile,Electrónica,2015
Alan Walker,Solista,M,Reino Unido,Electrónica,2015
Alejandro Vivanco,Solista,M,Chile,Electrónica,1993
Alesso,Solista,M,Suecia,Electrónica,2010
Alok,Solista,M,Brasil,Electrónica,2016
Amilcar Nadal,Solista,M,Argentina,Electrónica,2007
Axwell,Solista,M,Suecia,Electrónica,2007
Baauer,Solista,M,Estados Unidos,Electrónica,2012
Bajofondo,Banda,M,Argentina,Electrónica,2002
Barry Can't Swim,Solista,M,Escocia,Electrónica,2020
Bassnectar,Solista,M,Estados Unidos,Electrónica,2001
Baus,Solista,M,Chile,Electrónica,2019
Bitman,Solista,M,Chile,Electrónica,2000
Bitman & Roban,Banda,M,Chile,Electrónica,2000
BMF Squad,Banda,M,Chile,Electrónica,2000
Booka Shade,Banda,M,Alemania,Electrónica,2002
Borgore,Solista,M,Israel,Electrónica,2009
Boys Noize,Solista,M,Alemania,Electrónica,2007
Calvin Harris,Solista,M,Reino Unido,Electrónica,2007
Caribou,Solista,M,Canad{a,Electrónica,2001
Chancha vía circuito,Solista,M,Argentina,Electrónica,2005
Cheat Codes,Banda,M,Estados Unidos,Electrónica,2014
Chet Faker,Solista,M,Australia,Electrónica,2012
Chris Lake,Solista,M,Reino Unido,Electrónica,2006
Cimafunk,Solista,M,Cubano,Electrónica,2017
Cordillera,Banda,M,Chile,Electrónica,2017
Daniel Klauser,Solista,M,Chile,Electrónica,2011
Deadmau5,Solista,M,Canadá,Electrónica,2005
Delic,Solista,M,Chile,Electrónica,2010
Deorro,Solista,M,Estados Unidos,Electrónica,2012
Dezco,Solista,M,Colombia,Electrónica,2021
Dillon Francis,Solista,M,Estados Unidos,Electrónica,2011
Dimitri Vegas & Like Mike,Banda,M,Bélgica,Electrónica,2007
Disco Lines,Solista,M,Estados Unidos,Electrónica,2019
DJ Caso,Solista,M,Chile,Electrónica,2010
DJ Marky,Solista,M,Estonia,Electrónica,1992
DJ Mel,Solista,M,Estados Unidos,Electrónica,2012
DJ Raff,Solista,M,Chile,Electrónica,1992
DJ Snake,Solista,M,Francia,Electrónica,2009
DJ Tressor,Solista,M,Chile,Electrónica,2010
DJ Who,Solista,M,Chile,Electrónica,2000
Dom Dolla,Solista,M,Australia,Electrónica,2013
Don Diablo,Solista,M,Países Bajos,Electrónica,2003
Drunvaloop,Solista,M,Chile,Electrónica,2010
Duke Dumont,Solista,M,Reino Unido,Electrónica,2013
El Búho,Solista,M,Reino Unido,Electrónica,2012
El Sueño de la Casa Propia,Solista,M,Chile,Electrónica,2006
Empire of the Sun,Banda,M,Australia,Electrónica,2007
Fantasna,Solista,M,Chile,Electrónica,2010
Fat Pablo,Solista,M,Chile,Electrónica,2012
Feed me,Solista,M,Reino Unido,Electrónica,2011
